,id,titulo do artigo,abstract,classificacao_llm_final
0,1,Radical Reorganization of Environmental Policy: Contemporaneous Evidence from Brazil,An overview of environmental policy in Brazil since President Jair Bolsonaro took office in January 2019 suggests that the rise to power of a new political elite has led to a radical change in Brazil's trajectory of climate change initiatives and environmental protection. The new elite is associated with the disruption of two factors historically relevant for the design of environmental policy: the participation of civil society in the governance of public policy and multilateralism in matters of environment policy.,Climate Change
1,2,Environmental policy integration in a newly established natural resource-based sector: the role of advocacy coalitions and contrasting conceptions of sustainability,"Contributing a new South American case study, this paper seeks to advance the research agenda on processes of policy integration by developing a better understanding of how nascent subsystems become integrated into mature ones and the role that changing beliefs of advocacy coalitions play in fostering policy integration. The paper examines environmental policy integration in Uruguay's forestry sector since the 1990s and is based on an inductive qualitative analysis of policy documents, sector reports, parliament hearings and semi-structured interviews with key stakeholders. This demonstrates that environmental policy integration has increased continuously since the 1990s, accelerating particularly during the 2000s. We can derive three insights that specifically address this path of integration: a change in the policy beliefs of the dominant advocacy coalition, international salience of the minority coalition`s beliefs and participatory policy processes that foster interactions between opposing coalitions. Despite this, the two advocacy coalitions have crystallized with fundamentally different deep core beliefs about what a sustainable forestry sector should be. While one coalition argues that commercial tree plantations are sufficiently regulated in environmental terms, the other coalition maintains that the way that the pulp industry has developed in Uruguay is fundamentally unsustainable and therefore seeks to change the forestry sector as a whole.",Forests and Land Use
2,3,"Participatory interventions for collective action and sustainable resource management: linking actors, situations and contexts through the IAD, NAS and SES frameworks","Overcoming complex environmental challenges demands different forms of stakeholder participation and collective action. While informative and relevant for participatory interventions, the literatures on collective action and participatory governance have largely remained disconnected. We illustrate how the institutional analysis and development (IAD), network of (adjacent) action situation (NAS) and social–ecological system (SES) frameworks can be combined to provide a coherent approach that integrates these literatures, applies their insights and bridges this disconnect. We compare two similar participatory interventions, one in Colombia and one in Peru, whose design and implementation we supported. Transdisciplinary in nature, both sought to foster collective action for watershed management. The frameworks allow us to demarcate, characterise and reflect upon the action situations (ASs) for the collective choice, coordination and knowledge generation that constituted each participatory intervention (i.e. the constituent NAS) and other relevant operational and institutional ASs that lay outside the boundaries of the participatory interventions. These other ASs may not be linked to one another or to the intervention’s constituent NAS, but they influence the outcomes of interest nevertheless, thereby shaping the potential of the participatory interventions for collective action and sustainable natural resource management. The framework then suggests, and our comparative analysis illustrates, that organisers and researchers of participatory interventions, such as multi-actor deliberative platforms and transdisciplinary research projects, should carefully consider, reflect upon and address the constellation of relevant actors, ASs and contexts co-determining the outcomes of interest. Our study demonstrates how the IAD, SES and NAS frameworks can support that endeavour.",Freshwater Governance
3,4,Presidents and intermediaries: insights from clean energy policy processes in Mexico,"We assess whether different presidents have different styles of involving intermediary organizations such as trade unions or business associations in the policy process. Given that temporal variation in the relationship between presidents and intermediaries can be observed, to what extent can the intermediaries included in the policy process be explained by the respective president's leadership style and/or political ideology? We concentrate on the process by which clean energy policies were formulated under three Mexican presidents between 2006 and 2022. We draw on original data collected through 18 semi-structured interviews carried out with intermediaries between January and July 2022. Our findings show that the different presidents had different policy styles and therefore varied in how they included climate intermediaries in the policy process. This finding has important implications for research on policy styles as well as climate intermediation. Regarding policy styles the results presented call for theorizing of the dynamics observed. As concerns climate intermediaries the corresponding literature is invited to pay more attention to the political context in which they operate.",Multi-Theme
4,5,Narratives and practices of pesticide removal in the Andean valleys of Chile and Argentina,"The hegemony of the agribusiness model in Latin America has consolidated the implementation of the Green Revolution technological package in which pesticides play a fundamental role. Yet in the face of its negative social, economic, and environmental effects, many medium-capitalized producers, petty commodity producers, and peasants have developed various food production strategies beyond extensive pesticide use. Drawing from the convergence between rural sociology and agroecology, we address the narratives and practices of farming families that are constructing alternatives to pesticides. Our analysis focuses not only on the productive dimension but also on the political and cultural aspects of the strategies that the subjects deploy when distancing themselves from the hegemonic practices of agribusiness. To approach this objective, we combine an analysis of in-depth interviews and ethnographic notes carried out in the municipality of Putaendo (Valparaiso, Chile) and the Antinaco-Los Colorados valley (La Rioja, Argentina). The article contributes to previous theoretical work on alternative agriculture by analyzing practices and narratives as seen from four different levels: microeconomics, macroeconomics, politics, and family labor. Drawing from a combination of these perspectives, the agrarian producers in our study explain and exemplify the growth, deployment, threats and staying power of practices distinct to or in opposition to agribusiness. Additionally, the research confirms that the analysis of alternatives for changing agriculture should consider the interaction between technical components, such as the reduction or elimination of chemical pesticides, economic balance, such as providing an “adequate” level of income, and cultural elements, such as the co-existence of economic systems. © 2022 Elsevier Ltd",Energy Transition
5,6,"Ambiente, sustentabilidad y desigualdad: el caso del vertedero en San Carlos de Bariloche (2001-2019)","This article analyzes the link between three concepts: environment, sustainability and inequality. From the case of the Landfill of the city of San Carlos de Bariloche (Río Negro), the distributive effects of environmental policies (or the lack of them) are analyzed in three interdependent actors: social, private and state (including scientific-technological). Reconstructing the information from semi-structured interviews with key actors and bibliographic works that address this case, this article seeks to answer the question, what reasons explain why the main environmental problem in the city of Bariloche cannot be solved? It is concluded that the lack of a minimum vision among the group of actors over time is sufficient reason for the impossibility of solving the main environmental problem of the city.",Multi-Theme
6,7,"Conflicting Sovereignties: Global Conservation, Protected Areas, and Indigenous Nations in the Peruvian Amazon","Indigenous organizations, international actors, and national authorities portray different images of Indigenous Peoples' relationship with the natural environment. Based on these images, these actors deploy ecological, economic, and security arguments to create or transform protected areas. By exploring three cases of conflicts over creation and management of protected areas in the Peruvian Amazon, this article maps the tensions around the different images and explores how Indigenous organizations and state authorities-backed by international actors-engage with security, economic, and ecological rationales from their own sovereignty standpoint. I argue that the state weakens Indigenous political aspiration of sovereign territorial control by translating this agenda into depoliticized mechanisms and assumptions of modern international environmentalism, which ultimately limits their capacity to truly contribute to conservation goals. A nation-building approach to conservation, by conceiving Indigenous Nations as sovereign partners in environmental management, might give legitimacy to environmental initiatives.",Energy Transition
7,8,Cooperação intermunicipal na Política Nacional de Meio Ambiente: as capacidades estatais importam?,"The institutional framework of the National Environmental System assigns complex responsibilities to municipalities, which are often unviable in financial, technical, and operational terms. Cooperation emerges as an alternative to face the lack of resources and the inability of some municipalities to execute the guidelines provided for by the National Environmental Policy in an isolated way. This research examines the relationship between intermunicipal cooperation and municipal state capacities in the implementation of the environmental policy in Brazil, aiming to identify if state capacity, in different dimensions, is a relevant characteristic for municipalities participating in environmental public consortiums. This research used secondary data to employ a quantitative approach through logistic regression analysis, investigating the occurrence of intermunicipal cooperative arrangements in 4.479 Brazilian municipalities. In general terms, the results demonstrate that high administrative capacity and greater fiscal performance tend to reduce the incentives for the municipality to cooperate with others while implementing the PNMA at the local level. Also, the findings indicate that the availability of technical, political-relational, and institutional capacity increases the probability of cooperation.",Forests and Land Use
8,9,Implementing community-based forest management in the Brazilian Amazon Rainforest: a strategic action fields perspective,"We assess the conditions under which forest-dependent groups in the Brazilian Amazon Rainforest may overcome inequalities in the legal access to forest resources. Through the development of contrasting case studies, we address attempts made by two community-based associations that represent those groups to legalize their timber production. We explore the dominance and mobilization of resources and draw on the Strategic Action Fields perspective to organize and systematically compare the case studies. Results reveal that to overcome existing barriers to legalization, communities need to create a social movement dynamic to seize opportunities caused by the exogenous interferences in local social orders. Skilled social actors need to mobilize powerful supporters to accumulate resource endowments necessary to put forward the legalization process. These results are particularly important considering the enormous environmental importance of the Brazilian Amazon Rainforest, the increase in deforestation rates, and the precarious socio-economic situation of forest-dependent peoples.",Forests and Land Use
9,10,The politics of climate change adaptation in Brazil: framings and policy outcomes for the rural sector,"This study addresses the problem of defining the scope and substance of the climate adaptation policy, which operates with comprehensive objectives and engages with multiple meanings, policy tools, and sectors to allow societies to cope with the effects of climate change. Analyzing the design of Brazil's National Adaptation Plan sheds light on the main goals and tools of the country's adaptation strategy for the rural sector and its divergent policy approaches at distinct subnational levels. This study shows that the government's ambition for promoting change drove the design process by mainstreaming climate adaptation goals into well-established development agendas, but it resulted in the layering of existing sector-based instruments. The Plan became a mix of loosely coordinated and inconsistent strategies, lacking a common implementation approach. Thereby, this analysis provides insight into the politics of adaptation policies and the challenges of promoting policy integration in this field.",Climate Change
