id,busca,authors,authors full name,empirico,pp ambiental policy process,theoretical framework,pergunta de pesquisa,inferencia causal,desenho pesquisa,met,ciclo,tema,tematica geral,tematica especifica,metodologia adotada,local_backup,local_afiliacao,local_pesquisado,afiliacao,departamento,titulo do artigo,titulo da fonte,idioma,tipo do documento,authors keywords,keywords plus,abstract,enderecos,Reprint Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,cited reference count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,Publication Year,Volume,Issue,Start Page,End Page,DOI,DOI Link,WoS Categories,Web of Science Index,Research Areas,Web of Science Record
1,environmental politics ou política ambiental,"Capelari, MGM; Pereira, AK; Rivera, NM; de Araujo, SMVG","Capelari, Mauro Guilherme Maidana; Pereira, Ana Karine; Rivera, Nathaly M. M.; de Araujo, Suely Mara Vaz Guimaraes",1,1,ACF,0,0,2,2,1,9,Análise das políticas públicas ambientais desde a posse de Jair Bolsonaro,,,Brasil,Brasil,Brasil,UnB,,Radical Reorganization of Environmental Policy: Contemporaneous Evidence from Brazil,LATIN AMERICAN PERSPECTIVES,English,Article; Early Access,Civil society; Multilateralism; Environmental policy; Radical change; Brazilian politics,RIGHT-WING POPULISM; POLITICS,An overview of environmental policy in Brazil since President Jair Bolsonaro took office in January 2019 suggests that the rise to power of a new political elite has led to a radical change in Brazil's trajectory of climate change initiatives and environmental protection. The new elite is associated with the disruption of two factors historically relevant for the design of environmental policy: the participation of civil society in the governance of public policy and multilateralism in matters of environment policy. Uma analise das politicas ambientais brasileiras desde a tomada de posse de Jair Bolsonaro da presidencia da Republica em Janeiro 2019 constata que o aparecimento de uma nova elite politica acarretou em uma alteracao radical na trajetoria do Brasil com respeito as suas iniciativas sobre a mudanca climatica e a preservacao ambiental. Houve uma perturbacao de dois fatores por causa desta elite politica que eram historicamente importantes pela elaboracao de politicas ambientais: a participacao de organizacoes de sociedade civil na governanca de politicas publicas e o multilateralismo.,"[Capelari, Mauro Guilherme Maidana; Pereira, Ana Karine] Univ Brasilia, Ctr Desen Sustentavel, Brasilia, Brazil; [Rivera, Nathaly M. M.] Univ Sao Paulo, Sao Paulo, Brazil; [de Araujo, Suely Mara Vaz Guimaraes] Inst Brasileiro Ensino Desen & Pesquisa, Brasilia, Brazil","Capelari, MGM (autor correspondente), Univ Brasilia, Ctr Desen Sustentavel, Brasilia, Brazil.",,,,,,117,0,0,1,1,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0094-582X,1552-678X,,,,,,10.1177/0094582X221148714,http://dx.doi.org/10.1177/0094582X221148714,Area Studies; Political Science,Social Science Citation Index (SSCI),Area Studies; Government & Law,View Full Record in Web of Science
2,"environment* AND ""advocacy coalition*""","Kefeli, D; Siegel, KM; Pittaluga, L; Dietz, T","Kefeli, Daniel; Siegel, Karen M.; Pittaluga, Lucia; Dietz, Thomas",1,1,ACF,1,1,1,2,1,5,integração florestal,"integração da politica ambiental no setor florestal do Uruguai - integração dos subsistemas nascentes com os antigos, e o papel das crenças nas mudanças de coalizões ",,Alemanha,Alemanha,Uruguai,"University of Munster; Universidad de la Republica, Uruguay",,Environmental policy integration in a newly established natural resource-based sector: the role of advocacy coalitions and contrasting conceptions of sustainability,POLICY SCIENCES,English,Article,Policy integration; Advocacy coalitions; Forestry; Sustainability; Bioeconomy; Uruguay; South America,FRAMEWORK; COORDINATION; COHERENCE,"Contributing a new South American case study, this paper seeks to advance the research agenda on processes of policy integration by developing a better understanding of how nascent subsystems become integrated into mature ones and the role that changing beliefs of advocacy coalitions play in fostering policy integration. The paper examines environmental policy integration in Uruguay's forestry sector since the 1990s and is based on an inductive qualitative analysis of policy documents, sector reports, parliament hearings and semi-structured interviews with key stakeholders. This demonstrates that environmental policy integration has increased continuously since the 1990s, accelerating particularly during the 2000s. We can derive three insights that specifically address this path of integration: a change in the policy beliefs of the dominant advocacy coalition, international salience of the minority coalition`s beliefs and participatory policy processes that foster interactions between opposing coalitions. Despite this, the two advocacy coalitions have crystallized with fundamentally different deep core beliefs about what a sustainable forestry sector should be. While one coalition argues that commercial tree plantations are sufficiently regulated in environmental terms, the other coalition maintains that the way that the pulp industry has developed in Uruguay is fundamentally unsustainable and therefore seeks to change the forestry sector as a whole.","[Kefeli, Daniel; Siegel, Karen M.; Dietz, Thomas] Westfalische Wilhelms Univ Munster, Inst Polit Sci, D-48151 Munster, Germany; [Pittaluga, Lucia] Univ Republica, Sch Econ & Adm, Montevideo 11200, Uruguay","Kefeli, D (corresponding author), Westfalische Wilhelms Univ Munster, Inst Polit Sci, D-48151 Munster, Germany.",,"Pittaluga, Lucia/0000-0001-9055-4944; Kefeli, Daniel/0000-0002-8269-5621; Siegel, Karen Meike/0000-0003-4495-1580",German Federal Ministry of Food and Agriculture (BMEL) [2219NR291]; University of Munster; Projekt DEAL,German Federal Ministry of Food and Agriculture (BMEL); University of Munster; Projekt DEAL,Open Access funding enabled and organized by Projekt DEAL. This work was supported by the German Federal Ministry of Food and Agriculture (BMEL) (Grant Number 2219NR291) and the University of Munster through the research project `Transformation and Sustainability Governance in South American Bioeconomies'.,64,6,6,6,14,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0032-2687,1573-0891,2.023,56,1,69,93,10.1007/s11077-022-09485-z,http://dx.doi.org/10.1007/s11077-022-09485-z,"Public Administration; Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI),Public Administration; Social Sciences - Other Topics,Web of Science Record
3,"environment* AND ""institutional analysis*""","Ortiz-Riomalo, J.F.; Koessler, A.-K.; Miranda-Montagut, Y.; Cardenas, J.C.",56278149400;57207862460;57896805800;7005261457;,1,1,IAD,1,1,2,2,2,8,gestão coletiva,"Aplicação do IAD, NAS e SES para a superação e desafios de ação coletiva para a gestão de baciais hidrográficas",,Alemanha,Alemanha,Colombia; Peru,Universidade de Osnabrück - Alemanha,Departamento de Business Administration and Economics,"Participatory interventions for collective action and sustainable resource management: linking actors, situations and contexts through the IAD, NAS and SES frameworks",Sustainability Science,English,,Institutional analysis and development; Social–ecological systems; Networks of adjacent action situations; Collective action; Sustainable natural resource management; Participatory governance,,"Overcoming complex environmental challenges demands different forms of stakeholder participation and collective action. While informative and relevant for participatory interventions, the literatures on collective action and participatory governance have largely remained disconnected. We illustrate how the institutional analysis and development (IAD), network of (adjacent) action situation (NAS) and social–ecological system (SES) frameworks can be combined to provide a coherent approach that integrates these literatures, applies their insights and bridges this disconnect. We compare two similar participatory interventions, one in Colombia and one in Peru, whose design and implementation we supported. Transdisciplinary in nature, both sought to foster collective action for watershed management. The frameworks allow us to demarcate, characterise and reflect upon the action situations (ASs) for the collective choice, coordination and knowledge generation that constituted each participatory intervention (i.e. the constituent NAS) and other relevant operational and institutional ASs that lay outside the boundaries of the participatory interventions. These other ASs may not be linked to one another or to the intervention’s constituent NAS, but they influence the outcomes of interest nevertheless, thereby shaping the potential of the participatory interventions for collective action and sustainable natural resource management. The framework then suggests, and our comparative analysis illustrates, that organisers and researchers of participatory interventions, such as multi-actor deliberative platforms and transdisciplinary research projects, should carefully consider, reflect upon and address the constellation of relevant actors, ASs and contexts co-determining the outcomes of interest. Our study demonstrates how the IAD, SES and NAS frameworks can support that endeavour.",Article,,,,,,,,2,,,,,,,,,2.023,18,1,79,96,10.1007/s11625-022-01215-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138339111&doi=10.1007%2fs11625-022-01215-x&partnerID=40&md5=866e48ceda4185701c9767a3cc577a34,,,,Scopus
4,01/ago.,"Solorio, I; Tosun, J","Solorio, Israel; Tosun, Jale",1,1,MSF,1,0,2,2,2,4,,,,México,México,México,Universidad Nacional Autonoma de Mexico; Ruprecht Karls University Heidelberg,,Presidents and intermediaries: insights from clean energy policy processes in Mexico,POLICY STUDIES,English,Article,Clean energy; climate action; intermediaries; policy styles; presidentialism,ENVIRONMENTAL POLITICS; FELIPE CALDERON; ENRIQUE PENA; GOVERNANCE; MODEL,"We assess whether different presidents have different styles of involving intermediary organizations such as trade unions or business associations in the policy process. Given that temporal variation in the relationship between presidents and intermediaries can be observed, to what extent can the intermediaries included in the policy process be explained by the respective president's leadership style and/or political ideology? We concentrate on the process by which clean energy policies were formulated under three Mexican presidents between 2006 and 2022. We draw on original data collected through 18 semi-structured interviews carried out with intermediaries between January and July 2022. Our findings show that the different presidents had different policy styles and therefore varied in how they included climate intermediaries in the policy process. This finding has important implications for research on policy styles as well as climate intermediation. Regarding policy styles the results presented call for theorizing of the dynamics observed. As concerns climate intermediaries the corresponding literature is invited to pay more attention to the political context in which they operate.","[Solorio, Israel] Univ Nacl Autonoma Mexico, Sch Social & Polit Sci, Mexico City, Mexico; [Tosun, Jale] Heidelberg Univ, Inst Polit Sci, Bergheimer Str 58, D-69115 Heidelberg, Germany","Tosun, J (corresponding author), Heidelberg Univ, Inst Polit Sci, Bergheimer Str 58, D-69115 Heidelberg, Germany.","Solorio, Israel/HKF-3177-2023","Solorio, Israel/0000-0001-9609-7916; Tosun, Jale/0000-0001-9367-5039",National Autonomous University of Mexico [IA302721 -POPUL4T],National Autonomous University of Mexico(Universidad Nacional Autonoma de Mexico),,52,3,3,0,3,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0144-2872,1470-1006,2.023,44,5,608,626,10.1080/01442872.2022.2149724,http://dx.doi.org/10.1080/01442872.2022.2149724,Public Administration,Social Science Citation Index (SSCI),Public Administration,Web of Science Record
5,"""environment*"" AND ""equilibrium"" OR ""environment*"" AND ""narrative""",Palmisano T.,57192266572,1,1,NPF,0,0,1,2,0,5,,Análise de produtores rurais que utilizam outras alternativas aos agrotóxicos ,entrevistas em profundidade e etnografia,Argentina,Argentina,Chile; Argentina,Universidade de Buenos Aires - Argentina,,Narratives and practices of pesticide removal in the Andean valleys of Chile and Argentina,Environmental Science and Policy,English,Article,Agroecology; Alternative agricultures; Medium-capitalized producers; Peasants; Petty commodity producers,,"The hegemony of the agribusiness model in Latin America has consolidated the implementation of the Green Revolution technological package in which pesticides play a fundamental role. Yet in the face of its negative social, economic, and environmental effects, many medium-capitalized producers, petty commodity producers, and peasants have developed various food production strategies beyond extensive pesticide use. Drawing from the convergence between rural sociology and agroecology, we address the narratives and practices of farming families that are constructing alternatives to pesticides. Our analysis focuses not only on the productive dimension but also on the political and cultural aspects of the strategies that the subjects deploy when distancing themselves from the hegemonic practices of agribusiness. To approach this objective, we combine an analysis of in-depth interviews and ethnographic notes carried out in the municipality of Putaendo (Valparaiso, Chile) and the Antinaco-Los Colorados valley (La Rioja, Argentina). The article contributes to previous theoretical work on alternative agriculture by analyzing practices and narratives as seen from four different levels: microeconomics, macroeconomics, politics, and family labor. Drawing from a combination of these perspectives, the agrarian producers in our study explain and exemplify the growth, deployment, threats and staying power of practices distinct to or in opposition to agribusiness. Additionally, the research confirms that the analysis of alternatives for changing agriculture should consider the interaction between technical components, such as the reduction or elimination of chemical pesticides, economic balance, such as providing an “adequate” level of income, and cultural elements, such as the co-existence of economic systems. © 2022 Elsevier Ltd","Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) / Instituto de Investigaciones Gino Germani, Facultad de Ciencias Sociales, Universidad de Buenos Aires, Argentina",,,,,,,,0,,,,Elsevier Ltd,,,14629011,,2.023,139,,149,156,10.1016/j.envsci.2022.10.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141452070&doi=10.1016%2fj.envsci.2022.10.015&partnerID=40&md5=a1de4ca36056d3d2250049e73e558fbd,,,,Scopus
7,environmental politics ou política ambiental,"Merino, R","Merino, Roger",1,1,ACF,1,0,2,2,2,2,Interações entre grupos,"Interações entre diferentes grupos na amazônia peruana - como organizações indígenas e autoridades estatais se relacionam em questões de segurança, econômicas e ecológicas em relação à soberania",,Peru,Peru,Peru,Univerisade do Pacífico - Peru,,"Conflicting Sovereignties: Global Conservation, Protected Areas, and Indigenous Nations in the Peruvian Amazon",GLOBAL ENVIRONMENTAL POLITICS,English,Article,,LATIN-AMERICA; PEOPLES; TERRITORIES; GOVERNANCE; STATE; LAND,"Indigenous organizations, international actors, and national authorities portray different images of Indigenous Peoples' relationship with the natural environment. Based on these images, these actors deploy ecological, economic, and security arguments to create or transform protected areas. By exploring three cases of conflicts over creation and management of protected areas in the Peruvian Amazon, this article maps the tensions around the different images and explores how Indigenous organizations and state authorities-backed by international actors-engage with security, economic, and ecological rationales from their own sovereignty standpoint. I argue that the state weakens Indigenous political aspiration of sovereign territorial control by translating this agenda into depoliticized mechanisms and assumptions of modern international environmentalism, which ultimately limits their capacity to truly contribute to conservation goals. A nation-building approach to conservation, by conceiving Indigenous Nations as sovereign partners in environmental management, might give legitimacy to environmental initiatives.","[Merino, Roger] Univ Pacifico, Sch Publ Management, Lima, Peru","Merino, R (autor correspondente), Univ Pacifico, Sch Publ Management, Lima, Peru.",,,"Universidad del Pacifico (Lima, Peru)","Universidad del Pacifico (Lima, Peru)","I thank Universidad del Pacifico (Lima, Peru) for financially supporting the fieldwork for this article, as well as the three anonymous reviewers for their valuable comments, which helped to improve the original manuscript.",53,0,0,3,3,MIT PRESS,CAMBRIDGE,"ONE ROGERS ST, CAMBRIDGE, MA 02142-1209 USA",1526-3800,1536-0091,2.022,22,2,95,116,10.1162/glep_a_00646,http://dx.doi.org/10.1162/glep_a_00646,Environmental Studies; International Relations; Political Science,Social Science Citation Index (SSCI),Environmental Sciences & Ecology; International Relations; Government & Law,View Full Record in Web of Science
8,environmental politics ou política ambiental,"Santos, Jaedson Gomes dos; Silva, André Luís Nogueira da; Melo, Cadmiel Mergulhão Onofre de; Melo, Yasmim Marques de",,1,1,IAD,1,1,3,1,3,9,Cooperação municipal para o cumprimento das diretrizes da política nacional de meio ambiente,"relação entre cooperação intermunicipal e capacidade estatais municipais na implementação da política ambiental no Brasil, visando identificar se essas capacidades, em suas diferentes dimensões, têm características relevantes para os municípios que participam de consórcios públicos na área de meio ambiente",,Brasil,Brasil,Brasil,Universidade Federal da Paraiba,,Cooperação intermunicipal na Política Nacional de Meio Ambiente: as capacidades estatais importam?,Revista de Administração Pública,Portuguese,research-article,política ambiental nacional; cooperación intermunicipal; capacidades del estado; gobiernos locales,national environmental policy; intermunicipal cooperation; state capacities; local governments,"The institutional framework of the National Environmental System assigns complex responsibilities to municipalities, which are often unviable in financial, technical, and operational terms. Cooperation emerges as an alternative to face the lack of resources and the inability of some municipalities to execute the guidelines provided for by the National Environmental Policy in an isolated way. This research examines the relationship between intermunicipal cooperation and municipal state capacities in the implementation of the environmental policy in Brazil, aiming to identify if state capacity, in different dimensions, is a relevant characteristic for municipalities participating in environmental public consortiums. This research used secondary data to employ a quantitative approach through logistic regression analysis, investigating the occurrence of intermunicipal cooperative arrangements in 4.479 Brazilian municipalities. In general terms, the results demonstrate that high administrative capacity and greater fiscal performance tend to reduce the incentives for the municipality to cooperate with others while implementing the PNMA at the local level. Also, the findings indicate that the availability of technical, political-relational, and institutional capacity increases the probability of cooperation.","[Melo, Cadmiel Mergulhão Onofre de] Universidade Federal do Rio Grande do Norte, Brazil; [Santos, Jaedson Gomes dos] Universidade Federal da Paraíba, Brazil; [Melo, Yasmim Marques de] Fundação Getulio Vargas, Brazil; [Silva, André Luís Nogueira da] Fundação Instituto Brasileiro de Geografia e Estatística, Brasil",,"Luis Nogueira da Silva, Andre/N-6397-2014","Luis Nogueira da Silva, Andre/0000-0002-0934-5350",,,,71,0,0,0,0,,,,1982-3134,,2.022,56,6,745,771,10.1590/0034-761220220110,,Management; Public Administration,SciELO Brazil,Business & Economics; Public Administration,Scielo
9,environmental politics ou política ambiental,"de Andrade, RA; Neto, MS; Candido, SEA","de Andrade, Roberta Amaral; Sacomano Neto, Mario; Candido, Silvio Eduardo Alvarez",1,1,IAD,1,0,2,2,3,5,Grupos originários e o acesso a recursos ambientais,Como alguns grupos originarios da floresta amazonica conseguem superar a dificuldade de ter acesso a recursos naturais - tentativa da legalização de suas madadeiras,,Brasil,Brasil,Brasil,Universidade Federal de São Carlos,,Implementing community-based forest management in the Brazilian Amazon Rainforest: a strategic action fields perspective,ENVIRONMENTAL POLITICS,English,Article,Collective action; strategic action fields; timber production; community-based forest management; Amazon Rainforest,INSTITUTIONAL CHANGE; ELITE CAPTURE; SMALLHOLDERS; CHALLENGES,"We assess the conditions under which forest-dependent groups in the Brazilian Amazon Rainforest may overcome inequalities in the legal access to forest resources. Through the development of contrasting case studies, we address attempts made by two community-based associations that represent those groups to legalize their timber production. We explore the dominance and mobilization of resources and draw on the Strategic Action Fields perspective to organize and systematically compare the case studies. Results reveal that to overcome existing barriers to legalization, communities need to create a social movement dynamic to seize opportunities caused by the exogenous interferences in local social orders. Skilled social actors need to mobilize powerful supporters to accumulate resource endowments necessary to put forward the legalization process. These results are particularly important considering the enormous environmental importance of the Brazilian Amazon Rainforest, the increase in deforestation rates, and the precarious socio-economic situation of forest-dependent peoples.","[de Andrade, Roberta Amaral; Sacomano Neto, Mario; Candido, Silvio Eduardo Alvarez] Fed Univ Sao Carlos UFSCar, Dept Prod Engn DEP, Sao Carlos, SP, Brazil","Neto, MS (autor correspondente), Fed Univ Sao Carlos UFSCar, Dept Prod Engn DEP, Sao Carlos, SP, Brazil.",,"de Andrade, Roberta Amaral/0000-0002-4863-3611; Sacomano Neto, Mario/0000-0002-2561-1700",Conselho Nacional de Desenvolvimento Cientifico e Tecnologico; Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico(Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ)); Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior(Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES)),This work was supported by the Conselho Nacional de Desenvolvimento Cientifico e Tecnologico; and Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior.,60,1,1,5,13,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0964-4016,1743-8934,2.022,31,3,519,541,10.1080/09644016.2021.1933799,http://dx.doi.org/10.1080/09644016.2021.1933799,Environmental Studies; Political Science,Social Science Citation Index (SSCI),Environmental Sciences & Ecology; Government & Law,View Full Record in Web of Science
10,01/ago.,"Milhorance, C; Sabourin, E; Chechi, L; Mendes, P","Milhorance, Carolina; Sabourin, Eric; Chechi, Leticia; Mendes, Priscylla",1,1,IAD,1,0,1,2,1,3,,,,França,França,Brasil,Universite de Montpellier; Universite de Montpellier,,The politics of climate change adaptation in Brazil: framings and policy outcomes for the rural sector,ENVIRONMENTAL POLITICS,English,Article,Adaptation to climate change; policy framing; policy integration; Brazil; rural policy,,"This study addresses the problem of defining the scope and substance of the climate adaptation policy, which operates with comprehensive objectives and engages with multiple meanings, policy tools, and sectors to allow societies to cope with the effects of climate change. Analyzing the design of Brazil's National Adaptation Plan sheds light on the main goals and tools of the country's adaptation strategy for the rural sector and its divergent policy approaches at distinct subnational levels. This study shows that the government's ambition for promoting change drove the design process by mainstreaming climate adaptation goals into well-established development agendas, but it resulted in the layering of existing sector-based instruments. The Plan became a mix of loosely coordinated and inconsistent strategies, lacking a common implementation approach. Thereby, this analysis provides insight into the politics of adaptation policies and the challenges of promoting policy integration in this field.","[Milhorance, Carolina; Sabourin, Eric] Ctr Agr Res & Dev CIRAD UMR ART Dev, Montpellier, France; [Milhorance, Carolina; Sabourin, Eric; Mendes, Priscylla] Univ Brasilia CSD UnB, Ctr Sustainable Dev, Brasilia, DF, Brazil; [Sabourin, Eric] Montpellier Univ Excellence MUSE, Montpellier, France; [Chechi, Leticia] Reconcavo Bahia Fed Univ UFRB, Ctr Agr Environm & Biol Sci, Cruz Das Almas, Brazil","Milhorance, C (corresponding author), Ctr Agr Res & Dev CIRAD UMR ART Dev, Montpellier, France.;Milhorance, C (corresponding author), Univ Brasilia CSD UnB, Ctr Sustainable Dev, Brasilia, DF, Brazil.",,"SABOURIN, Eric/0000-0002-1171-2535; Milhorance, Carolina/0000-0002-3290-8596; Mendes, Priscylla/0000-0001-7074-680X","Association Nationale de la Recherche et de la Technologie [ANR-17-CE03-0005, ANR-16-IDEX-0006]; FAPERGS [17/2551-0000959-2]; CNPq/Capes/FAPDF [INCT] [16-2014]; Agence Nationale de la Recherche (ANR) [ANR-17-CE03-0005] Funding Source: Agence Nationale de la Recherche (ANR)",Association Nationale de la Recherche et de la Technologie(Agence Nationale de la Recherche (ANR)); FAPERGS(Fundacao de Amparo a Ciencia e Tecnologia do Estado do Rio Grande do Sul (FAPERGS)); CNPq/Capes/FAPDF [INCT]; Agence Nationale de la Recherche (ANR)(Agence Nationale de la Recherche (ANR)),,51,8,8,3,19,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0964-4016,1743-8934,2.022,31,2,183,204,10.1080/09644016.2021.1907097,http://dx.doi.org/10.1080/09644016.2021.1907097,Environmental Studies; Political Science,Social Science Citation Index (SSCI),Environmental Sciences & Ecology; Government & Law,Web of Science Record
11,environment* AND multiple streams,"García Hernández, A.L.; Lucatello, S.",57214822214;57190391236;,1,1,MSF,1,1,1,3,5,3,Processo político da política climática argentina,Análise a partir do MSF sobre as políticas públias climáticas do México,,México,Dinamarca,México,Universidade Técnica da Dinamarca,,Climate policy integration: taking advantage of policy windows? An analysis of the energy and environment sectors in Mexico (1997–2018),Journal of Environmental Policy and Planning,English,,Climate policy integration; policy entrepreneurs; policy windows; energy transition; policy expansion; policy dismantling,,"Given the crosscutting character of climate change, improving our understanding of its integration into sectorial policy domains is relevant. We contribute empirically with a case study in Mexico where we analyze climate policy integration in terms of policy outputs and processes. Firstly, we adapted an approach to measure events of regulatory output change and applied it to our original dataset of changes in Mexican environmental and energy laws and regulations between 1997 and 2018. Secondly, based on expert interviews and using the multiple streams as theoretical framework, we explored the role of policy entrepreneurs on influencing policy change towards climate policy integration, in particular the enactment of the law for energy transition in 2015. The Energy Reform in 2013, which aimed at increasing private participation in fossil fuels production, was framed as a solution to the problem of ‘uncertainties over oil reserves and energy demand growth’. Paradoxically, policy entrepreneurs advocated for a transition toward clean electricity as a solution to the same problem. They also identified the 21st UNFCCC Conference of the Parties as an event influencing the political stream and opening a window of opportunity for the enactment of the law for energy transition.",Article,,,,,,,,5,,,,,,,,,2.022,24,1,56,67,10.1080/1523908X.2021.1940893,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107910156&doi=10.1080%2f1523908X.2021.1940893&partnerID=40&md5=53a6d6b39c63dc2e06901aac6aef383e,,,,Scopus
